MWG;NWG;KWG;MDIMC;NDIMC;MDIMA;NDIMB;KWI;VWM;VWN;STRM;STRN;SA;SB;Run1 (ms);Run2 (ms);Run3 (ms);Run4 (ms)
128;64;32;16;8;32;8;2;1;8;0;0;0;0;278,12;280,35;279,58;279,12
128;64;32;16;8;32;8;2;1;8;0;0;0;1;230,01;227,76;227,67;227,78
128;64;32;16;8;32;8;2;1;8;0;0;1;0;192,56;193,36;192,46;192,65
128;64;32;16;8;32;8;2;1;8;0;0;1;1;217,11;217,18;217,1;217,1
128;64;32;16;8;32;8;2;1;8;0;1;0;0;278,3;279,75;279,9;279,23
128;64;32;16;8;32;8;2;1;8;0;1;0;1;230,64;227,63;227,72;227,43
128;64;32;16;8;32;8;2;1;8;0;1;1;0;199,47;201,54;199,25;199,37
128;64;32;16;8;32;8;2;1;8;0;1;1;1;216,98;217,18;217,05;217,11
128;64;32;16;8;32;8;2;1;8;1;0;0;0;276,44;277,51;276,72;276,65
128;64;32;16;8;32;8;2;1;8;1;0;0;1;222,76;220,17;220;220,11
128;64;32;16;8;32;8;2;1;8;1;0;1;0;205,15;207,59;205,24;206,38
128;64;32;16;8;32;8;2;1;8;1;0;1;1;203,21;202,69;202,66;203,19
128;64;32;16;8;32;8;2;1;8;1;1;0;0;276,2;276,55;276,47;276,42
128;64;32;16;8;32;8;2;1;8;1;1;0;1;222,68;220;219,71;219,95
128;64;32;16;8;32;8;2;1;8;1;1;1;0;204,9;204,81;204,79;204,79
128;64;32;16;8;32;8;2;1;8;1;1;1;1;203,36;202,65;202,58;202,66
128;64;32;16;8;32;8;2;2;1;0;0;0;0;321,87;321,9;321,7;322,06
128;64;32;16;8;32;8;2;2;1;0;0;0;1;223,08;216,93;217,74;216,97
128;64;32;16;8;32;8;2;2;1;0;0;1;0;268,47;274,15;272,69;274
128;64;32;16;8;32;8;2;2;1;0;0;1;1;333,91;333,79;333,71;333,82
128;64;32;16;8;32;8;2;2;1;0;1;0;0;338,57;337,66;337,61;337,73
128;64;32;16;8;32;8;2;2;1;0;1;0;1;256,97;256,92;256,62;256,66
128;64;32;16;8;32;8;2;2;1;0;1;1;0;275,34;281,3;280,22;283,64
128;64;32;16;8;32;8;2;2;1;0;1;1;1;224,8;226,5;224,75;225,1
128;64;32;16;8;32;8;2;2;1;1;0;0;0;318,43;320;318,93;319,24
128;64;32;16;8;32;8;2;2;1;1;0;0;1;216,36;213,39;212,81;212,47
128;64;32;16;8;32;8;2;2;1;1;0;1;0;269,83;270,23;270,15;270,16
128;64;32;16;8;32;8;2;2;1;1;0;1;1;341,28;341,29;341,22;341,19
